show_id,type,$=TRIM(PROPER(C2))$,director,cast,country,date_added,release_year,rating,genres,language,description,popularity,vote_count,vote_average,budget,revenue,Data_Quality_Notes
37686,Movie,Super 8,J.J. Abrams,"Joel Courtney, Elle Fanning, Riley Griffiths, Kyle Chandler, Noah Emmerich",United States of America,2011-06-08,2011,6.8,"Thriller, Science Fiction, Mystery",en,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.",27.009,6640,6.8,50000000,260100000,
68817,Movie,Footloose,Craig Brewer,"Dennis Quaid, Kenny Wormald, Julianne Hough, Andie MacDowell, Miles Teller",United States of America,2011-10-06,2011,6.6,"Drama, Music, Romance",en,"Ren MacCormack is transplanted from Boston to the small southern town of Bomont where loud music and dancing are prohibited. Not one to bow to the status quo, Ren challenges the ban, revitalizing the town and falling in love with the minister’s troubled daughter Ariel in the process.",26.554,1652,6.6,24000000,63543328,
77887,Movie,Hawaiian Vacation,Gary Rydstrom,"Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Estelle Harris",United States of America,2011-06-16,2011,6.961,"Animation, Family, Comedy",en,The toys throw Ken and Barbie a Hawaiian vacation in Bonnie's room.,26.26,666,6.961,0,0,
49520,Movie,The Change-Up,David Dobkin,"Jason Bateman, Ryan Reynolds, Leslie Mann, Olivia Wilde, Alan Arkin",United States of America,2011-08-05,2011,6.152,Comedy,en,"Lifelong friends Dave and Mitch are envious of the other's life. Mitch thinks Dave has it all: a beautiful, loving family and a high-paying job at a prestigious law firm. But Dave thinks Mitch’s stress-free playboy life without obligation or consequence is the real dream come true. One fateful drunken night, they both admit that they wish they had the other’s life while peeing in a fountain when lightning strikes. The next morning, they wake up, hungover, in each other’s bodies! With time not on their side, Mitch and Dave comically struggle to avoid completely destroying each other’s lives before they can find a way to get their old ones back.",26.248,2782,6.152,52000000,75500000,
227257,Movie,Monster High: Fright On!,"Victor Dal Chele, Alfred Gimeno","Kate Higgins, Salli Saffioti, Debi Derryberry, Laura Bailey, Audu Paden",United States of America,2011-10-31,2011,6.6,"Family, Animation, Fantasy",en,See what happens when the student bodies of an all-vampire school and an all-werewolf school integrate with Monster High.,26.247,45,6.6,0,0,
74465,Movie,We Bought a Zoo,Cameron Crowe,"Matt Damon, Scarlett Johansson, Thomas Haden Church, Colin Ford, Maggie Elizabeth Jones",United States of America,2011-12-08,2011,6.8,"Drama, Comedy, Family",en,"Benjamin has lost his wife and, in a bid to start his life over, purchases a large house that has a zoo – welcome news for his daughter, but his son is not happy about it. The zoo is in need of renovation and Benjamin sets about the work with the head keeper and the rest of the staff, but, the zoo soon runs into financial trouble.",26.087,2732,6.8,50000000,120081841,
50348,Movie,The Lincoln Lawyer,Brad Furman,"Matthew McConaughey, Ryan Phillippe, William H. Macy, Marisa Tomei, Josh Lucas",United States of America,2011-03-17,2011,7.2,"Crime, Drama, Thriller",en,"Mick Haller is a charismatic defense attorney who does business out of his Lincoln Continental sedan. Mick spends most of his time defending petty crooks and other bottom-feeders, so it comes as quite a surprise when he lands the case of a lifetime: defending a Beverly Hills playboy who is accused of attempted murder. However, what Mick initially thinks is an open-and-shut case with a big monetary reward develops into something more sinister.",26.037,3319,7.2,40000000,85412898,
120475,Movie,Dragon Ball: Episode of Bardock,Yoshihiro Ueda,"Masako Nozawa, Ryusei Nakao, Houko Kuwashima, Masashi Ebara, Keiji Hirai",Japan,2011-12-17,2011,6.9,"Action, Animation, Science Fiction",ja,"A spin-off scenario taking place after the events of the TV special Dragon Ball Z: Bardock - The Father of Goku, in which Bardock survives the destruction of Planet Vegeta and is sent into the past, combating Frieza's ancestor Chilled and turning into a Super Saiyan.",25.834,387,6.9,0,0,
60935,Movie,The Thing,Matthijs van Heijningen Jr.,"Mary Elizabeth Winstead, Joel Edgerton, Ulrich Thomsen, Eric Christian Olsen, Adewale Akinnuoye-Agbaje",United States of America,2011-10-12,2011,6.2,"Horror, Science Fiction, Mystery",en,"When paleontologist Kate Lloyd travels to an isolated outpost in Antarctica for the expedition of a lifetime, she joins an international team that unearths a remarkable discovery. Their elation quickly turns to fear as they realize that their experiment has freed a mysterious being from its frozen prison. Paranoia spreads like an epidemic as a creature that can mimic anything it touches will pit human against human as it tries to survive and flourish in this spine-tingling thriller.",25.762,2962,6.2,35000000,31505287,
23629,Movie,Sucker Punch,Zack Snyder,"Emily Browning, Abbie Cornish, Jena Malone, Vanessa Hudgens, Jamie Chung","Canada, United States of America",2011-03-24,2011,6.2,"Action, Fantasy, Thriller",en,"A young woman, institutionalized by her abusive stepfather, retreats into a vivid fantasy world where she envisions a plan to escape. Gathering a group of fellow inmates, she embarks on a quest to collect five mystical items, blurring the lines between reality and imagination.",25.719,4760,6.2,82000000,89792502,
76025,Movie,Shame,Steve McQueen,"Michael Fassbender, Carey Mulligan, James Badge Dale, Nicole Beharie, Lucy Walters","Canada, United Kingdom",2011-10-02,2011,6.9,Drama,en,"Brandon, a thirty-something man living in New York, eludes intimacy with women but feeds his deepest desires with a compulsive addiction to sex. When his younger sister temporarily moves into his apartment, stirring up bitter memories of their shared painful past, Brandon's life, like his fragile mind, gets out of control.",25.536,3195,6.9,6500000,3909002,
